NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;VS;HS_NMS;SONDERS;PTS;AHS_UST;AHS_OST;SONST_AB_SCH;BERUF_SCH;BMS;SONST_BB_SCH;BHS;BSA;SCH_GES;GESAMT;SCHULJAHR
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;10075;4166;196;222;8051;7836;566;3981;1790;833;6532;691;1655;46594;202122
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;115;0;0;0;0;0;0;0;0;0;0;0;0;115;202122
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;146;0;0;0;0;0;0;0;0;0;0;0;0;146;202122
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;52;0;0;0;0;0;0;0;0;0;0;0;0;52;202122
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;80;130;0;0;0;0;0;0;0;0;0;0;0;210;202122
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);87;0;0;0;0;0;0;0;0;0;0;0;0;87;202122
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;27;0;0;0;0;0;0;0;0;0;0;0;0;27;202122
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten;67;0;0;0;0;0;0;0;0;0;0;0;0;67;202122
AT2;AT22;AT225;603;Deutschlandsberg;60344;Deutschlandsberg;423;448;0;41;0;327;88;0;91;0;621;0;74;2113;202122
AT2;AT22;AT225;603;Deutschlandsberg;60345;Eibiswald;207;215;0;0;0;0;0;1646;0;0;0;0;0;2068;202122
AT2;AT22;AT225;603;Deutschlandsberg;60346;Groß Sankt Florian;123;200;0;0;0;0;0;0;0;0;0;0;0;323;202122
AT2;AT22;AT225;603;Deutschlandsberg;60347;Sankt Martin im Sulmtal;115;0;0;0;0;0;0;0;0;0;0;0;0;115;202122
AT2;AT22;AT225;603;Deutschlandsberg;60348;Sankt Stefan ob Stainz;136;164;0;0;0;0;0;0;0;0;0;0;0;300;202122
AT2;AT22;AT225;603;Deutschlandsberg;60349;Bad Schwanberg;165;185;0;0;0;0;0;0;0;0;0;0;0;350;202122
AT2;AT22;AT225;603;Deutschlandsberg;60350;Stainz;264;264;0;28;0;0;0;0;109;0;0;0;0;665;202122
AT2;AT22;AT225;603;Deutschlandsberg;60351;Wies;145;211;0;0;0;0;0;0;106;0;0;0;0;462;202122
AT2;AT22;AT221;606;Graz-Umgebung;60608;Feldkirchen bei Graz;278;215;3;0;0;0;0;0;0;0;0;0;0;496;202122
